Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Liu, RyanGangRG",Connecting theorems to code: When Dafny met GOSDT,"6,000",2022-2023,University Undergraduate Student Research Awards
"Liu, Zheng",Digital twin computing for predictive maintenance of industrial systems,"39,000",2022-2023,Discovery Grants Program - Individual
"Liu, ZhengZ",Multi-Modal ILI Data Fusion for Combined Diagnostics of Pipeline,"24,500",2022-2023,Alliance Grants
"Liyanage, AnnudeshASL",Improving the Performance of the Advanced LIGO Gravitational Wave Detectors,"6,000",2022-2023,University Undergraduate Student Research Awards
"Lobay, RachelRC",Improving the robustness of chained equation imputation by incorporating compatibility blocks,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Loewen, Philip","Cohomology, group actions and spaces of representations","31,000",2022-2023,Discovery Grants Program - Individual
"LordMay, ColeCLM",Quantification and numerical modelling of turbulent fluxes during katabatic winds over mountain glaciers,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Lorincz, Matthew",Using PGCLCs as a model system for early germ cell development to characterize the roles of histone marks and their readers in DNA methylation homeostasis and transcriptional regulation,"69,000",2022-2023,Discovery Grants Program - Individual
"Loss, Cristiano",Innovative methods of design for the next generation of wood-based tall buildings,"31,000",2022-2023,Discovery Grants Program - Individual
"Lovegrove, Gordon",Sustainable Transport Safety (SMARTer Growth Systems Planning): Tools to Proactively Move Toward Zero Deaths & Zero Emissions Transport,"31,000",2022-2023,Discovery Grants Program - Individual
"Lovegrove, GordonGR","Southern Railway of BC (SRY) Green Goat switcher locomotive retrofit into a zero-emission vehicle (ZEV) via low pressure hydrogen, fuel cell / battery hybrid (hydrail) system","87,000",2022-2023,Alliance Grants
"Lowry, SethSN",Advancements in Real-Time Terahertz Imaging,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Lu, XiX",Cybersecurity for Safe Underwater Acoustic Communications (SAFE-UComm),"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Lucet, Yves",Computer-Aided Nonsmooth Analysis and Applications,"41,000",2022-2023,Discovery Grants Program - Individual
"Lucet, YvesYP",Estimating oil and gas well life cycle using machine learning,"80,000",2022-2023,Alliance Grants
"Luo, HaimingHL",Endothelial Cell Modification Under Shear Stress to Model Physiological Vasculature,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Luo, Honglin",Autophagy mechanism of coronaviral infection: Lessons from enteroviruses,"40,000",2022-2023,Discovery Grants Program - Individual
"Ma, DanielDHC",Elucidating the trade-off between short- and long-term wetting resistance,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ma, Hongshen","Microscopy-based cell separation, selective propagation, and selective single cell sequencing","39,000",2022-2023,Discovery Grants Program - Individual
"Ma, LuyaoL",Smarter food safety: advancing foodborne pathogen detection through intelligent biosensors,"45,000",2022-2023,Postdoctoral Fellowships
"Ma, ManyouM",Content Caching for AI-Enabled Mobile Edge Computing Applications,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"MacEachern, JoshuaJW",Mapping Galactic Synchrotron Emission to Facilitate the Detection of Inflationary Gravitational Waves,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"MacFarland, ShannonSH",Charting the growth of galaxies,"6,000",2022-2023,University Undergraduate Student Research Awards
"MacFarlane, William",Development and Application of beta-detected NMR to Quantum Materials and Beyond,"29,000",2022-2023,Discovery Grants Program - Individual
"MacGillivray, AlexanderAC",Free-Space Optical Communications via Retro-Modulation,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"MacLachlan, Mark",Supramolecular Materials,"150,000",2022-2023,Canada Research Chairs
"MacLachlan, Mark",Supramolecular Materials,"50,000",2022-2023,Canada Research Chairs
"MacLean, Karon",Interactive Human Systems Design,"200,000",2022-2023,Canada Research Chairs
"MacLean, Karon","Making Haptic Interaction Design Accessible: Models, Tools and Community","110,000",2022-2023,Discovery Grants Program - Individual
"MacLean, KaronKE",NSERC CREATE in Designing for People (DFP): Cross disciplinary Program in Interactive Computational Technology,"300,000",2022-2023,Collaborative Research and Training Experience
"MacLean, LukeLJ",The Design of an Ultrasound-Augmented Spinal Surgery Drill for Freehand Navigation of Pedicle Screws,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"MacNaughton, GretchenGDM",Early life history of white sturgeon,"6,000",2022-2023,University Undergraduate Student Research Awards
"Macquistan, MaryMG","Mineralogical and geochemical characterization of the Gun Occurrence, Yukon Territory","17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Madden, John",Developing stretchable sensors and contracting textiles: Emerging technologies for wearable devices,"110,000",2022-2023,Discovery Grants Program - Individual
"Maddison, Wayne",Biodiversity and Systematics,"200,000",2022-2023,Canada Research Chairs
"Maddison, Wayne",A phylogenetic approach to spider diversification,"110,000",2022-2023,Discovery Grants Program - Individual
"Madison, Kirk",Quantum materials and quantum sensors with atomic and molecular gases,"50,000",2022-2023,Discovery Grants Program - Individual
"Madison, KirkKW",The atomic vacuum standard collaboration,"25,000",2022-2023,Alliance Grants
"Magel, BenjaminBEMM",Lab-scale characterization of a novel transparent medical grade mask,"6,000",2022-2023,University Undergraduate Student Research Awards
"Magel, JenniferJMT",Cumulative impacts of climate change and habitat alteration on migratory shorebirds,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Magnuson, JustineJRR",The development and recovery of perceived and performance fatigability,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Maharaj, Anil",Development of an ex-vivo-in-silico framework for predicting maternal and breastfed-infant toxicokinetics,"12,500",2022-2023,Discovery Launch Supplement
"Maharaj, Anil",Development of an ex-vivo-in-silico framework for predicting maternal and breastfed-infant toxicokinetics,"26,000",2022-2023,Discovery Grants Program - Individual
"Mahmoud, Soheil",Regulation of terpenoid metabolism in lavender,"33,000",2022-2023,Discovery Grants Program - Individual
"Maldonado, Maria","Sources, cycling and biological impacts of trace metals in the Subarctic Pacific Ocean","66,000",2022-2023,Discovery Grants Program - Individual
"Maldonado, MariaMT","Sources, sinks and fate of microplastics in the Strait of Georgia and its urbanized watershed: a solution-oriented natural mesocosm study.","389,010",2022-2023,Alliance Grants
"Malloff, TiaTI",Exploring the effects of experimental warming on insect-mediated pollination,"6,000",2022-2023,University Undergraduate Student Research Awards
"Man, Allison",The Rise and Fall of Star Formation in Galaxies,"39,000",2022-2023,Discovery Grants Program - Individual
"Manaligod, MariaGloriaMinaMGM",The effects of everyday experience on selective attention,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Manglicmot, RegineClaireRCMM",Ticks: A Vector of Pathogens and Host to Symbionts,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Mank, Judith",Sex-specific selection and the evolution of sexual dimorphism,"55,000",2022-2023,Discovery Grants Program - Individual
"Mank, JudithElizabeth",Canada 150 Research Chair in Evolutionary Genomics,"1,000,000",2022-2023,Canada 150 Research Chairs
"Markley, Loïc",Electromagnetic periodic structures and metamaterials for imaging and wireless technology,"28,000",2022-2023,Discovery Grants Program - Individual
"Marriott, NicolaNH",Investigations into the neural underpinnings and biological correlates of asexuality,"6,000",2022-2023,University Undergraduate Student Research Awards
"Marshall, CalebCZ",Precise operator norm estimates for diverse collections of maximal directional Hilbert transforms,"100,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Marshall, Katie",Linking mechanisms of low temperature tolerance to species distribution,"28,000",2022-2023,Discovery Grants Program - Individual
"Marti, Jose",Advanced Hybrid SFA/EMTP Simulator for Seamless Integration of Power Systems Dynamics and EMT Transients,"39,000",2022-2023,Discovery Grants Program - Individual
"Martin, AlexanderAJF","Arboriculture, Urban Forest Management, and Pathogens of Trees","6,000",2022-2023,University Undergraduate Student Research Awards
"Martin, Tara",Predicting impacts of cumulative threats to inform conservation decisions under global change,"47,000",2022-2023,Discovery Grants Program - Individual
"Martinez, Mark",Novel Applications of Viscoplastic Fluids: Creating New Products for the Pulp and Paper Sector,"39,000",2022-2023,Discovery Grants Program - Individual
"Martinez, MarkDM",3D printing of bioplastics for agricultural mulch and disposable food packaging products,"166,500",2022-2023,Idea to Innovation
"Martinez, MarkDM",ERMP Phase 3: Understanding Energy Reduction and Developing Higher-Value Markets for Mechanical Pulps,"307,462",2022-2023,Collaborative Research and Development Grants
"Martone, Patrick","The confusing, the cryptic, and the unseen: phenotypic adaptation and functional diversity of morphologically challenging macroalgae","40,000",2022-2023,Discovery Grants Program - Individual
"Masini, LisaLA",Mapping the Physiological Indicators of Mindfulness using Wearable Technology,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Masri, SarahSM",Analyzing developmental processes with optimal transport,"6,000",2022-2023,University Undergraduate Student Research Awards
"Mateyko, NickNA",Measuring the effects of individual transcription factors on chromatin accessibility,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Matharu, GunwantGK",Synthesis of Phosphorescent Tetradentate Bis-cyclometalated Platinum (II) Complexes for Targeting Photoluminescent Supramolecular Materials,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Matsubara, Joanne","Regulation of inflammasome activity by a classic anti-apoptotic protein, XIAP.","100,000",2022-2023,Discovery Grants Program - Individual
"Matsuuchi, Linda",The regulation of signaling and cytoskeletal rearrangements in B-lymphocytes,"32,000",2022-2023,Discovery Grants Program - Individual
"Matthews, Benjamin",Molecular basis of egg-laying across mosquitoes,"47,000",2022-2023,Discovery Grants Program - Individual
"Matthews, Philip",Gas exchange in water and air: Revealing fundamental mechanisms underlying the development and control of the insect respiratory system,"40,000",2022-2023,Discovery Grants Program - Individual
"Matthews, Philip",Gas exchange in water and air: Revealing fundamental mechanisms underlying the development and control of the insect respiratory system,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Mawer, KenK",Open-source software for forecasting and nowcasting COVID in BC,"6,000",2022-2023,University Undergraduate Student Research Awards
"Maxwell, Christopher",Control of symmetric cell division by the spindle assembly factor HMMR,"36,000",2022-2023,Discovery Grants Program - Individual
"Mayo, CaitlinCER",Quantifying patterns of urban marine biodiversity,"6,000",2022-2023,University Undergraduate Student Research Awards
"Mayor, Thibault",Investigation of Pathways that Regulate the Expression of Recombinant Proteins in Yeast,"67,000",2022-2023,Discovery Grants Program - Individual
"McAllister, Murdoch",Developing fisheries models of intermediate complexity to address spatial dynamics and species interactions,"33,000",2022-2023,Discovery Grants Program - Individual
"McBurnie, LaurenLBM",Effect of microhabitat variation on macroclimatic ranges shifts,"6,000",2022-2023,University Undergraduate Student Research Awards
"McComb, SofieSHE",Evaluating cumulative impacts to inform conservation decisions in a biodiversity hotspot,"100,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"McConnachie, MatthewMD",Engineering cytochrome p450s for the production of hydroxylated camptothecin derivatives,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"McConnachie, MatthewMD",Synthesis and modification of intermediates in the camptothecin biosynthetic pathway,"5,250",2022-2023,Canadian Graduate Scholarships Foreign Study Supplements
"McDonald, Daniel","Regularization and approximation: statistical inference, model selection, and large data","27,000",2022-2023,Discovery Grants Program - Individual
"McDougall, JessicaJF",Can we 'gain' without the pain? Investigating muscle nociception and pain perception changes associated with exercise,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"McDougall, Scott",Development of new tools and techniques for the analysis and risk management of landslides and related geohazards,"52,000",2022-2023,Discovery Grants Program - Individual
"McDougall, ScottSD",CanBreach (Canadian Tailings Dam Breach Research) - an integrated tailings dam breach research and technology development project,"80,000",2022-2023,Collaborative Research and Development Grants
"McElhinney, AlyssaAA",Molecular mechanisms regulating astrocyte phagocytic activity,"6,000",2022-2023,University Undergraduate Student Research Awards
"McHugh, ErinElizabethEE",Implications of urban parkland management for wild bee populations,"6,000",2022-2023,University Undergraduate Student Research Awards
"McIntire, Eliot",Predictive ecology in a world with dynamic data and models,"66,000",2022-2023,Discovery Grants Program - Individual
"McIntosh, Lawrence",Protein Glycosylation: Mechanisms and Consequences,"138,000",2022-2023,Discovery Grants Program - Individual
"McIver, Jessica",Decoding the cosmos with gravitational waves,"33,000",2022-2023,Discovery Grants Program - Individual
"McIver, Jessica",Gravitational wave astrophysics,"120,000",2022-2023,Canada Research Chairs
"McKinnon, AlexandraALH",Spin polarized xenon and its application to magnetometry,"6,000",2022-2023,University Undergraduate Student Research Awards
"McLaren, DevyaniD",Designing for the emotional connection between touch and robotics,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"McManus, Ali",Vascular responsiveness and oxygen transport during exercise in children and adolescents,"33,000",2022-2023,Discovery Grants Program - Individual
"McNabb, BrandonBJ",Assessing the Physiological and Photochemical Pathways Driving Biogenic Sulfur Cycling Using Novel Analytical and Computational Approaches,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"McNeil, Christopher",Neural and muscular aspects of fatigue and long-term acclimatization to high altitude.,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"McNeil, Christopher",Neural and muscular aspects of fatigue and long-term acclimatization to high altitude.,"40,000",2022-2023,Discovery Grants Program - Individual
"McNeill, GinaGL",The Role of Oxygen in Modulating Trophoblast Differentiation,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"McRae, RyleyRJ",Coiled nylon electrothermomechanical actuation,"6,000",2022-2023,University Undergraduate Student Research Awards
"MdArman, ChowdhuryCM",Performance-based Seismic Design of Novel Shape Memory Alloy (SMA) based Braced Frame,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Mehri, RyanRP",Enriched Rust Program Representations for Program Analysis and Verification,"6,000",2022-2023,University Undergraduate Student Research Awards
"Mehrkhodavandi, Parisa",New directions in the green polymer laboratory: Biodegradable functional polymers,"64,000",2022-2023,Discovery Grants Program - Individual
"Mehrkhodavandi, ParisaP",Using CO2 incorporation and lignin to polyol conversion to develop sustainable bio-based non-isocyanate polyurethane rigid foams,"28,000",2022-2023,Alliance Grants
"Mehta, Aastha",Mitigating Side-Channel Leaks in Next-Generation Cloud Systems,"40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Mehta, Aastha",Mitigating Side-Channel Leaks in Next-Generation Cloud Systems,"29,000",2022-2023,Discovery Grants Program - Individual
"Melanson, JennaJB",Foraging and dispersal behavior of a ground-dwelling social pollinator (B. mixtus) across an agricultural landscape-diversity gradient,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Melchers, GraceGKM",Coastal ocean impacts and solutions in British Columbia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Menard, Frederic",Design of molecular tools to study protein dynamics in living cells,"29,000",2022-2023,Discovery Grants Program - Individual
"Mérida, Walter",New pathways in electrochemical energy conversion,"78,000",2022-2023,Discovery Grants Program - Individual
"Mérida, WalterWR",Autonomous drones over 5G Networks,"226,614",2022-2023,Alliance Grants
"Mérida, WalterWR",Hydrogen production via water electrolysis at high temperature and pressure,"83,160",2022-2023,Alliance Grants
"Mérida, WalterWR",Public Transit Fleet and Energy Transition: A Road Towards Net-Zero,"495,000",2022-2023,Alliance Grants
"Merrill, ReidRJ",Fluids and seismogenesis in Cascadia,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Merry, KohleKJ",Development of a home-based Achilles tendon strengthening program promoting load-induced tendon adaptation,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Mesbah, Ali",Multimodal Learning-Driven Software Analysis,"41,000",2022-2023,Discovery Grants Program - Individual
"Michal, Carl",Understanding functional properties of biological and smart materials,"41,000",2022-2023,Discovery Grants Program - Individual
"Michaletz, Sean",Plant functioning in a changing climate,"52,000",2022-2023,Discovery Grants Program - Individual
"Michaletz, Sean",Plant functioning in a changing climate,"15,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Michelson, David",Wireless Channel Sounding using Distributed and Synthetic Arrays,"33,000",2022-2023,Discovery Grants Program - Individual
"Militzer, Matthias",Computational Design of Complex Microstructures for Advanced Engineering Alloys,"33,000",2022-2023,Discovery Grants Program - Individual
"Militzer, MatthiasM",Hot-rolled high-strength steels with leaner alloying concepts,"80,000",2022-2023,Collaborative Research and Development Grants
"Militzer, MatthiasM",Effect of pressurized spray cooling on microstructure gradients in thicker hot strip products,"66,660",2022-2023,Collaborative Research and Development Grants
"Militzer, MatthiasM",Effect of Scale on Runout Table Heat Transfer,"24,000",2022-2023,Alliance Grants
"Milner, Valery",Control and study of molecular dynamics in many-body quantum systems,"50,000",2022-2023,Discovery Grants Program - Individual
"Milsom, William",Control of Breathing in Vertebrates,"78,000",2022-2023,Discovery Grants Program - Individual
"Miskovic, Ilija",Mine Digital Twin For Value Chain Optimization,"26,000",2022-2023,Discovery Grants Program - Individual
"Miskovic, Sanja",Smart Surrogate Models for Design and Operation of Efficient and Sustainable Comminution Units,"26,000",2022-2023,Discovery Grants Program - Individual
"Mitchell, Cameron",Understanding the Matrix: Regulation of the Human Muscle Extra Cellular Matrix,"28,000",2022-2023,Discovery Grants Program - Individual
"Mitchell, Matthew",Identifying multi-scale drivers of biodiversity and ecosystem services to build multifunctional working landscapes,"12,500",2022-2023,Discovery Launch Supplement
"Mitchell, Matthew",Identifying multi-scale drivers of biodiversity and ecosystem services to build multifunctional working landscapes,"29,000",2022-2023,Discovery Grants Program - Individual
"Mizumoto, Kota",Developmental Neurobiology,"100,000",2022-2023,Canada Research Chairs
"Mizumoto, Kota",Elucidating the mechanisms of gradient dependent and independent Wnt signaling in neuronal development,"36,000",2022-2023,Discovery Grants Program - Individual
"MohamadpourTosarkani, Babak",Design and optimization of sustainable closed-loop supply chain networks under uncertainty,"26,000",2022-2023,Discovery Grants Program - Individual
"Mohammed, NasserGamalAbdallaNGA",Faraday synthesis with CHIME,"6,000",2022-2023,University Undergraduate Student Research Awards
"Mohn, William","Bacterial metabolism of steroids, from enzymes to ecosystems","164,000",2022-2023,Discovery Grants Program - Individual
"Mohseni, Madjid",Photochemical and ion exchange processes for optimized water reuse strategies,"62,000",2022-2023,Discovery Grants Program - Individual
"Mohseni, MadjidM",L2M NSERC - A process for the removal of forever chemicals,"20,000",2022-2023,Idea to Innovation
"Mohseni, MadjidM",Occurrence of per- and poly-fluoroalkyl substances (PFAS) and their removal using novel regenerable ion exchange resins,"298,000",2022-2023,Alliance Grants
"Mok, NicoNKF",Impact of Soil Structure Interaction on the Seismic Performance of Reinforced Concrete Shear Wall Buildings,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"MolinaHutt, Carlos",Enhancing the Seismic Resilience of Canada's Built Environment through Comprehensive Risk-Based Assessments of New and Existing Tall Buildings,"31,000",2022-2023,Discovery Grants Program - Individual
"MolinaHutt, CarlosC","Quantifying the Seismic Resilience of the Transportation Network in the Lower Mainland, BC","46,350",2022-2023,Alliance Grants
"Momose, Takamasa",Spectroscopy and dynamics of cold and ultracold molecules,"36,000",2022-2023,Discovery Grants Program - Individual
"Monticelli, DaviDF",Cannabis Cultivation Facilities: Linking emissions and air quality to inform regulation,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Montwé, David",Resilience of western Canadian forests to climatic extremes,"28,000",2022-2023,Discovery Grants Program - Individual
"Moo, KarolinaKC",Airway model in a microfluidic system,"6,000",2022-2023,University Undergraduate Student Research Awards
"Moore, EmilyEP","Hydroclimatic effects on the run timing of kokanee salmon and the impacts of future climate change and forest disturbance in Peachland Creek, British Columbia","17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Moore, RandyRWJ",Robotically Guided Healthcare Interventions for Remote Communities,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Moore, Robert","Environmental change, catchment hydrology and the stream environment","36,000",2022-2023,Discovery Grants Program - Individual
"Moore, SydneySM",Optimizing and Validating Data Generated from Automated Milking Systems to Improve Herd Health,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Morin, Gregg",Functions of CDK12 and CDK13 in pre-mRNA Processing,"32,000",2022-2023,Discovery Grants Program - Individual
"Moritz, Orson",Probing photoreceptor cell biology using genetically modified amphibians.,"42,000",2022-2023,Discovery Grants Program - Individual
"Morris, CarolynCDM",The protective ionoregulatory effects of dissolved organic carbon in freshwater fish,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Morris, SarahSRM",Characterizing the biological determinants of magnetic resonance contrast using novel myelin imaging techniques in the central nervous system,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Morrison, TheodoreTGS",The Road Coloring Problem and the O(G) Conjecture,"6,000",2022-2023,University Undergraduate Student Research Awards
"Moses, MabelMWM",Wildfire Fuels and Fire Regimes in British Columbia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Mowatt, KristinKLM",Quantifying physiological responses to Indigenous land-based physical activity,"6,000",2022-2023,University Undergraduate Student Research Awards
"MuhammadBashir, ShahidS","A novel carbon dioxide redox flow battery: Stack design, modeling and performance testing","35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Munn, SamuelSDSM",Processing and analysis of Atomic Force Microscopy Image Data,"6,000",2022-2023,University Undergraduate Student Research Awards
"Murch, Susan",Chemistry of Natural Non-Protein Amino Acids,"72,000",2022-2023,Discovery Grants Program - Individual
"Murphy, Gail",Improving Software Quality through Effective Decision Support,"64,000",2022-2023,Discovery Grants Program - Individual
"Murphy, Michael",Bacterial iron acquisition,"40,000",2022-2023,Discovery Grants Program - Individual
"Murphy, Timothy",Tools for assessing shared sensory experience in interacting mice.,"55,000",2022-2023,Discovery Grants Program - Individual
"Murugan, Mathav",Random processes and their underlying geometry,"24,000",2022-2023,Discovery Grants Program - Individual
"Murugan, Mathav",Probability,"120,000",2022-2023,Canada Research Chairs
"Na, YiXueYN",Diversity and Evolution of Apicomplexans,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Nabi, Ivan",Nanodomain Structure of the Endoplasmic Reticulum by Super Resolution Microscopy,"58,000",2022-2023,Discovery Grants Program - Individual
"Nadeau, BenBEN",Rational Ligand Design for Nickel Catalyzed Methane Functionalization,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Nadeem, QurratUlAinQUA",Realizing Reconfigurable Radio Environments using Intelligent Reflecting Surfaces for Sustainable and Energy-Efficient Beyond Fifth Generation Communication Systems,"45,000",2022-2023,Postdoctoral Fellowships
"Nagarajan, Mahesh","Forecasting and Stochastic Optimization: Applications to Capacity, Inventory and Revenue Management Problems.","52,000",2022-2023,Discovery Grants Program - Individual
"Nair, PrashantJayaprakash","Architectural Techniques to Sustain Moore's Law to Enable Reliable, Secure, and Efficient Memory Systems","28,000",2022-2023,Discovery Grants Program - Individual
"Nasiopoulos, Panos",Frameless video system: emulating the human visual system,"33,000",2022-2023,Discovery Grants Program - Individual
"Nasiopoulos, PanosP",Artificial Intelligence for Smart Cities and Intelligent Transportation,"100,000",2022-2023,Alliance Grants
"Naude, KaticaKM",Relating leaf cuticular conductance to light reflectance spectra in plants,"6,000",2022-2023,University Undergraduate Student Research Awards
"Nelson, HannahH",Correlates of muscle oxygenation during exercise in humans,"6,000",2022-2023,University Undergraduate Student Research Awards
"Neudorf, HelenaHGTN",Investigating the direct role of ketone bodies in modulating immune cell function in humans.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ng, JohnPaulJA",Comparing carbon footprint of seafoods served in Vancouver's restaurants,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ng, Raymond",Data Science and Analytics,"200,000",2022-2023,Canada Research Chairs
"Ng, Raymond",Stream Analytics for Diverse Applications,"48,000",2022-2023,Discovery Grants Program - Individual
"Ng, RaymondT",Automated Extraction of Fields of Interest from Unstructured Documents,"88,750",2022-2023,Alliance Grants
"NG, ROYRN",Modelling the Competition between Shared Micro-mobility and Transit Services,"6,000",2022-2023,University Undergraduate Student Research Awards
"Nguyen, KhaKM",Elucidating the high-resolution structure of the Elongator tRNA modifying complex,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Nichols, Eva",Tuning Peripheral Functionality of Molecular and Interfacial Electrocatalysts to Influence Reaction Pathways,"24,000",2022-2023,Discovery Grants Program - Individual
"Nicoladis, Elena",Cognitive predictors of bilingual children's language: A longitudinal study,"58,000",2022-2023,Discovery Grants Program - Individual
"Nikov, NikoNA",Algebraic structure of linear causal models,"6,000",2022-2023,University Undergraduate Student Research Awards
"Niyyati, SaraSadatSS",Responses to altered glucose availability in primary T cells.,"6,000",2022-2023,University Undergraduate Student Research Awards
"Noh, Minkyun",Design and Control of Novel High-speed Bearingless Motors,"23,650",2022-2023,Discovery Grants Program - Individual
"Nolde, Natalia",Models and Methods for Multivariate Risk Assessment,"25,000",2022-2023,Discovery Grants Program - Individual
"Noonan, Michael",Statistically efficient integration of animal tracking data into ecological theory and evidence-based conservation,"28,000",2022-2023,Discovery Grants Program - Individual
"Nott, JamesJAM",Architecture of subduction zone magma reservoirs and origin of primitive arc magmatism: A Canadian Cordilleran perspective,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Nowak, BernadetteBVR","The influence of oceanographic conditions on the individual variability of movement patterns and fitness of an Antarctic marine predator, the Weddell seal (Leptonychotes weddellii)","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"OConnor, Mary",Developing a Metabolic Scaling and Biodiversity Framework to estimate Ecosystem Adaptive Capacity,"110,000",2022-2023,Discovery Grants Program - Individual
"Odic, Darko",The role of long-term experience in the development and use of the visual number sense,"40,000",2022-2023,Discovery Grants Program - Individual
"Ollivier, Rachel",Hecke algebras in the mod p Langlands program,"19,000",2022-2023,Discovery Grants Program - Individual
"OllivierGooch, Carl","Accurate, Robust Simulations of Aerodynamics Flows, Especially Wakes and Shocks","39,000",2022-2023,Discovery Grants Program - Individual
"OllivierGooch, CarlCF","Improving Finite Volume Methods for Industrial CFD: Adaptation, Error Quantification, and Robust Convergence","59,053",2022-2023,Collaborative Research and Development Grants
"OloumiYazdi, YasY",Microfluidic On-Chip Integrated Sample Loading for Silicon Photonic Evanescent-Field Sensor,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Olsen, JonasJE",Developing Proteolysis Targeting Chimeras (PROTACs) to Degrade Dihydrofolate Reductase,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Olson, James",Micro-fibrillated cellulose development and application,"78,000",2022-2023,Discovery Grants Program - Individual
"Orabi, BaraaBO",Design and Complexity Analysis of Novel Algorithms for Annotation-independent Detection of Transcriptomic Alternative Splicing Isoforms Using Long-read Sequencing,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ordonez, Martin",Power Converters for Renewable Energy Systems,"100,000",2022-2023,Canada Research Chairs
"Ordonez, Martin",Flexible Power for Future Zero-Emissions Shipping and Delivery,"64,000",2022-2023,Discovery Grants Program - Individual
"Ordonez, MartinM",Rapid battery charging technologies for light electric vehicles,"66,000",2022-2023,Collaborative Research and Development Grants
"Orsi, Anais",Towards a better understanding of polar climate variability,"66,000",2022-2023,Discovery Grants Program - Individual
"Ortner, Christoph",Mathematical Aspects of Atomistic and Multiscale Modelling,"48,000",2022-2023,Discovery Grants Program - Individual
"Ortner, ChristophC",Machine Learning Surrogates for Simulating Quantum Materials,"25,000",2022-2023,Alliance Grants
