Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects
"Marcolin, Barb L.",The University of British Columbia,"Community Connectedness, Fast Features methodology, and Wellness through Systematic Platforms","$25,000.00",2022-2023,892
"Margolis, Eric",The University of British Columbia,A Theory of Concepts,"$20,031.00",2022-2023,435
"Markevych, Mila",The University of British Columbia,Who is Binging on Cognitive and Non-routine Tasks?  The Implications for Job Polarization and Income Inequality,"$20,000.00",2022-2023,752
"Marmer, Vadim",The University of British Columbia,Econometric Analysis of Auctions,"$18,520.00",2022-2023,435
"Marr, Kelsey L.",The University of British Columbia,"Shifting futures: Swedish immigration, nationalism, and reproductive planning","$10,000.00",2022-2023,752
"Marshall, Christopher W.",The University of British Columbia,Comic Routines in Roman Comedy,"$46,811.00",2022-2023,435
"Martin, Christopher",The University of British Columbia,Understanding Student's Place in the Deliberative Politics of Education: A Philosophical Analysis,"$20,255.00",2022-2023,435
"Mason, Glenda J.",The University of British Columbia,Children's Speech Development in Complex Words Online,"$12,150.00",2022-2023,435
"Mathur, Chhavi",The University of British Columbia,Picturing Paradise: An Ecocritical Study of Literature of the Okanagan Valley,"$17,500.00",2022-2023,766
"Matsubara, Joanne",The University of British Columbia,In Vivo Imaging for Investigating Neurodegenerative Diseases of the Brain and Eye,"$125,000.00",2022-2023,940
"Matthewson, Lisa C.",The University of British Columbia,Questions about Questions in Human Languages,"$89,910.00",2022-2023,435
"Mawani, Renisa",The University of British Columbia,Colonial Legal Histories,"$200,000.00",2022-2023,950
"Mawani, Renisa",The University of British Columbia,Enemies of empire:  a socio-legal history of piracy,"$12,239.00",2022-2023,435
"McCartney, Kevin D.",The University of British Columbia,Energy Transitions in Compromised Times: How Extractive Communities Live with Climate Change,"$35,000.00",2022-2023,767
"McCarty, Matthew M.",The University of British Columbia,Globalizing Ancient Countrysides: Oarda Roman Villa Project,"$10,696.00",2022-2023,435
"McCloskey, Katharine",The University of British Columbia,Masculinity in Veteran Men: Exploring Emotion Suppression and Relationship Satisfaction,"$20,000.00",2022-2023,752
"McCormick, Kelly",The University of British Columbia,The Cameraman in a Skirt: A New Visual History of Modern Japan,"$25,313.00",2022-2023,430
"McCullough, Kimberly",The University of British Columbia,Antiquity Reconsidered: Domestic Spaces and Lived Experiences in Roman North Africa,"$35,000.00",2022-2023,767
"McDaniel, Rachael N.",The University of British Columbia,Rite of Christian Initiation for Adults: A Play,"$17,500.00",2022-2023,766
"McFadyen, Ursula S.",The University of British Columbia,"""For real college life is not all work:"" UBC student community on the early co-ed campus, 1908-1930","$20,000.00",2022-2023,752
"McGhie, Sophia",The University of British Columbia,Sacred Animals of this Secular Region: Orca Capture and the Knowledge of Commodification,"$17,500.00",2022-2023,766
"McGinley, Steve V.",The University of British Columbia,Much the Same or Radical Change? The Case for a Multi-Sectoral Approach to Quality Physical Education,"$30,000.00",2022-2023,752
"McPhail, Melanie",The University of British Columbia,Flexible Regulation of Innovative Medicines: Implications and Recommendations for Canada's Regulatory Systems,"$35,000.00",2022-2023,767
"Melville, Larissa S.",The University of British Columbia,Statistical and Distributional Learning in Word Segmentation,"$17,500.00",2022-2023,766
"Michalovich, Amir",The University of British Columbia,Participatory Video with Youth from Refugee Backgrounds in a Vancouver Secondary School: Bridging Imagined Communities and Educational Possibilities,"$20,000.00",2022-2023,752
"Milewski, Patricia D.",The University of British Columbia,Flowers of Parnassus: A Critical Survey and Analysis of Two Seventeenth-Century German Songbooks by Gertrud Möller and Johann Sebastiani,"$20,000.00",2022-2023,752
"Miller, William",The University of British Columbia,Co-creating a conceptual framework for digital game design to promote aging well,"$35,346.00",2022-2023,430
"Miller, William C.",The University of British Columbia,A community-based system for sharing Recreational Assistive Devices (RAD),"$33,368.00",2022-2023,435
"Miller-Harder, Claire",The University of British Columbia,One Acre of Land on Mars: A Collection of Short Fiction,"$17,500.00",2022-2023,766
"Milstein, Sara",The University of British Columbia,Making a Case: The Origins and Legacy of Biblical and Near Eastern Law,"$4,201.00",2022-2023,435
"Miranda, Daniela B.",The University of British Columbia,'What Does Science Say?': Contested Meanings of Science in the Debates about the Toxicity of Agrochemicals in Argentina,"$17,500.00",2022-2023,766
"Misener, Kaylee J.",The University of British Columbia,Investigation of a novel and comprehensive self-compassion and yoga-based positive body image program for female adolescents,"$17,500.00",2022-2023,767
"Mitchell, Tamara",The University of British Columbia,Reading with the Ears: The Sounds of Violence in Contemporary Latin American Literature,"$24,045.00",2022-2023,430
"Mody, Zankhna",The University of British Columbia,"Agricultural Strategies for Drought and Climate Change in Tropical Dry Zones: Comparative Case Studies from Bagan, Myanmar","$20,000.00",2022-2023,752
"Molyneux, Tonje M.",The University of British Columbia,Strengthening educators' capacity to support schoolwide social and emotional learning: a mixed-methods evaluation of an online professional learning program,"$35,000.00",2022-2023,767
"Mookerjee, Siddhanth",The University of British Columbia,Nudging Consumers Towards Purchasing Medical Assistive Devices,"$20,000.00",2022-2023,752
"Moran, Patrick",The University of British Columbia,Le marché céleste : essai sur l'émergence des genres littéraires narratifs au Moyen Âge,"$6,884.00",2022-2023,435
"Mortenson, William B.",The University of British Columbia,An intersectional analysis of assistive technology access and utilization across cultural groups,"$76,543.00",2022-2023,435
"Mortenson, William B.",The University of British Columbia,Occupation and society: Global to local perspectives for the future,"$25,000.00",2022-2023,611
"Morton, David S.",The University of British Columbia,A State at Year Zero: An Oral History of Mozambique's Independence,"$37,590.00",2022-2023,435
"Mosavarzadeh, Marzieh",The University of British Columbia,"Walking to make place: Towards building a pedagogical community of artists/researchers/teachers of Iranian origin in Vancouver, BC","$20,000.00",2022-2023,752
"Murphy, Emily",The University of British Columbia,"Modernist Remediations: Embodiment, Technology, and Cultural Memory","$22,476.00",2022-2023,430
"Nadler, Roland C.",The University of British Columbia,Reconciling Democracy and Technocracy in the Age of Courtroom Neuroscience,"$50,000.00",2022-2023,770
"Nan, Ning",The University of British Columbia,Gamification for Pro-Environmental Social Cooperation,"$27,707.00",2022-2023,430
"Naqvi, Naveena",The University of British Columbia,Writing the Inter-Imperial World in Afghan North India,"$29,117.00",2022-2023,430
"Neels, Gerrit J.",The University of British Columbia,The Lottery Paradox and the Question-relativity of Belief,"$20,000.00",2022-2023,752
"Neimanis, Astrida",The University of British Columbia,Canada Research Chair in Ecofeminism and Environmental Humanities,"$120,000.00",2022-2023,950
"Nelson, Harry W.",The University of British Columbia,I'm a Lumberjack and I'm not OK,"$98,500.00",2022-2023,435
"Nesbitt, Lorien H.C.",The University of British Columbia,Charting new pathways to achieving recognitional justice in urban greening,"$49,455.00",2022-2023,435
"Ng, David Wayne",The University of British Columbia,Queer Imaginations: Intersectional Arts Practices of Queers of Colour,"$35,000.00",2022-2023,767
"Nicholson, Tara",The University of British Columbia,"Agents of Change, Documenting Arctic Climatology and Land Activism within the Anthropocene","$52,500.00",2022-2023,767
"Nicoladis, Elena",The University of British Columbia,The development of viewpoint in children's gesture production,"$39,860.00",2022-2023,435
"Noack, Frederik FN",The University of British Columbia,Economic and Environmental Interactions,"$120,000.00",2022-2023,950
"Nonex, Saattvic",The University of British Columbia,"The effect of digital distribution platforms on industry dynamics in experience and credence goods industries, with a focus on the media","$35,000.00",2022-2023,767
"Norenzayan, Ara",The University of British Columbia,"Religion, Spirituality, and Moral Concern for the Environment","$40,878.00",2022-2023,435
"Norman, Moss E.",The University of British Columbia,"Restor(y)ing place-based Indigenous physical cultural identities:  examining the relationships between movement, land, language, and masculinities","$50,929.00",2022-2023,435
"Norris, Matthew P.",The University of British Columbia,Our Voices - Urban Indigenous Peoples and the United Nations Declaration on the Rights of Indigenous Peoples,"$17,500.00",2022-2023,767
"Norris, Sam B.T.",The University of British Columbia,The Effects of Conviction and Incarceration in the Criminal Justice System,"$11,760.00",2022-2023,435
"Nunn, Nathan",The University of British Columbia,Economics of Culture,"$100,000.00",2022-2023,950
"O'Connor, Alida",The University of British Columbia,"Operationalizing a landscape approach in Kalomo District, Zambia","$52,500.00",2022-2023,767
"O'Connor, Deborah L.",The University of British Columbia,Mental (in)capacity in the context of abuse and neglect,"$13,400.00",2022-2023,435
"O'Kane, Kiarah M.K.",The University of British Columbia,"Visual attention patterns of transgender men, women, and non-binary individuals: The effects of incentivized sexual cues","$17,500.00",2022-2023,766
"Obadia, Shimshon",The University of British Columbia,Queer Sounds in the Substructure: Queering Space with Locative Digital Stories,"$17,500.00",2022-2023,766
"Oberg, Gunilla M.",The University of British Columbia,"Science, Values and Wastewater Controversies","$99,376.00",2022-2023,435
"Oberle, Eva",The University of British Columbia,Get outside and play! Investigating outdoor play and children's positive development in schools and communities,"$47,866.00",2022-2023,435
"Oberle, Eva",The University of British Columbia,Trajectories of positive youth development in schools: understanding diversity and assets in population subgroups,"$17,244.00",2022-2023,435
"Odionu, Gideon",The University of British Columbia,"Sustainable Development, Climate Change Mitigation and the Reconciliation of Competing Foreign Investment and Environmental Protection Goals in the Global South","$20,000.00",2022-2023,752
"Ogunnote, Olaitan",The University of British Columbia,Understanding intellectual property rights in the context of cancer drug access in Africa,"$35,000.00",2022-2023,767
"Ojukwu, Emmanuela",The University of British Columbia,"Understanding the Impact of Psychosocial Vulnerabilities on Access to and Utilization of Women-centred HIV/AIDS Support Services among African, Caribbean and Black Women in Canada","$36,346.00",2022-2023,430
"Oliffe, John",The University of British Columbia,Preventing male suicide through social connection and mutual help,"$250,000.00",2022-2023,941
"Oliver, Bruce",The University of British Columbia,Possibility and Necessity (Modality) in Secwepemctsin,"$20,000.00",2022-2023,752
"Olszynski, Martin Z.",The University of British Columbia,Regional Land-Use Planning: Environmental Panacea or Business as Usual?,"$20,000.00",2022-2023,752
"Opini, Bathseba M.",The University of British Columbia,Educators and School Leaders Leading for Antiracism and Equity Summer Institute,"$18,318.00",2022-2023,611
"Orr, Scott",The University of British Columbia,"Scale, Scope and Market Power","$14,450.00",2022-2023,430
"Ortiz-Molina, Hernan",The University of British Columbia,"Labor Laws, Process Innovation, and Firm Performance","$21,593.00",2022-2023,435
"Ortner, Christoph",The University of British Columbia,Hybrid Mechanistic/Data-driven Models for Interatomic Potentials,"$125,000.00",2022-2023,940
"Osborne, Sofia R.",The University of British Columbia,Tiger Girls,"$17,500.00",2022-2023,766
"Ottoni, Callista A.",The University of British Columbia,Loneliness and social connectedness: Exploring community-dwelling older adults experiences during the COVID-19 pandemic,"$20,000.00",2022-2023,752
"Oum, Tae H.",The University of British Columbia,Measuring the Effects of Air Connectivity on Service Trade,"$39,356.00",2022-2023,435
"Oveisi, Niki",The University of British Columbia,"Knowledge Translation for Menstrual Health, Equity, and Sustainability: a Randomized Evaluation Trial of Canadian Healthcare Students","$35,000.00",2022-2023,767
"Pachkowski, Mikayla C.D.",The University of British Columbia,Dissociating from the fear of death: An examination of personal characteristics that may facilitate the decision to die by suicide,"$35,000.00",2022-2023,767
"Page, Connor A.",The University of British Columbia,"Listening Lyric, Singing Science: Clare and Hopkins","$17,500.00",2022-2023,766
"Pai, Raymond",The University of British Columbia,Negotiation of Identities and Language Ideologies in Heritage Language Learning: A Comparative Case Study of Heritage Learners of Cantonese in Vancouver,"$17,500.00",2022-2023,767
"Pailer, Gaby",The University of British Columbia,"Women's Drama and Theatre in German-speaking Europe, 1600-2025","$9,331.00",2022-2023,435
"Paluch, Rebecca",The University of British Columbia,An Investigation Into Employee Exits and Post-Employment Relationships,"$30,112.00",2022-2023,430
"Panofsky, Sarah C.",The University of British Columbia,Wet'suwet'en wellness: healing trauma according to Wet'suwet'en ways,"$35,000.00",2022-2023,767
"Parent, Natasha",The University of British Columbia,'Always connected': A comprehensive exploration of problematic smartphone engagement,"$35,000.00",2022-2023,767
"Park, Grace J.H.",The University of British Columbia,"Forgotten Memories, Forgotten War: The Effect of National Categories on Korean Canadian Records","$17,500.00",2022-2023,766
"Park, Keunhyun",The University of British Columbia,Border vacuums: Analysis of underused parks as barriers of urban vitality using mobile phone data,"$35,733.00",2022-2023,430
"Parkins, Ilya",The University of British Columbia,Re-Dressing Weddings: The Politics of Feminist Wedding Culture and Apparel,"$26,669.00",2022-2023,435
"Paskulin, Lindsey Marielle",The University of British Columbia,The search for ancient chocolate: Using proteomics to identify cacao in Pre-Columbian vessels,"$52,500.00",2022-2023,767
"Patel, Sonali",The University of British Columbia,Invisibilization of Queer South Asian Women in Canada,"$20,000.00",2022-2023,752
"Paterson, Carley E.",The University of British Columbia,Exploring the support networks of rural adults age 50 and over with mental health concerns,"$20,000.00",2022-2023,752
"Peacock, Liana (Kitt)",The University of British Columbia,"Crafting Queer Space: Folk art, cultural breakages, and transgender healing","$17,500.00",2022-2023,766
"Peck, Jamie A.",The University of British Columbia,Breaking new ground: economic integration and regulatory transformation in China's Greater Bay Area,"$98,965.00",2022-2023,435
"Peckford, Kailey P.",The University of British Columbia,Straight Women in Gay Bars: A Qualitative Analysis of Women's Motivations for Patronizing Gay Spaces,"$17,500.00",2022-2023,766
"Peers, Robyn",The University of British Columbia,The Terror Within: Neoliberalism and the rhetoric of fatphobia in North American public discourse,"$20,000.00",2022-2023,752
"Pena, Francisco",The University of British Columbia,The Confluence of Religious Cultures in Medieval Historiography: A Digital Humanities Project,"$75,371.00",2022-2023,435
"Penkov, Gabriela D.",The University of British Columbia,"Smells, Perfumes and Tastes: A Critical Edition and Commentary of Part of Book XIX of Jean Corbechon's « Livre des proprietés des choses », 14th century","$17,500.00",2022-2023,766
"Peracha, Hira",The University of British Columbia,Perfectionism in Autistic Children and Adolescents,"$17,500.00",2022-2023,766
"Perla, Jesse",The University of British Columbia,Deep learning methods for solving high-dimensional equilibrium models,"$29,925.00",2022-2023,435
"Peters, Allen L.",The University of British Columbia,Electricity grid reliability under climate change,"$20,000.00",2022-2023,752
"Petker, Tashia",The University of British Columbia,Longitudinal evaluation of the impact of cannabis use on cognitive and psychosocial wellbeing in university students,"$35,000.00",2022-2023,767
"Petrina, Stephen",The University of British Columbia,Philosophy of Media and Technology for Children and Youth,"$38,532.00",2022-2023,435
"Phillips, Rachel J.",The University of British Columbia,Before the Floods: Mapping the Political Landscapes of Urban Flood Infrastructure Construction from New Orleans to San Juan,"$20,000.00",2022-2023,752
"Phinney, Alison",The University of British Columbia,"Centring the Lived Experience of Dementia within Policy, Practice & Community Development","$130,550.00",2022-2023,"2,004"
"Phurisamban, Rapichan",The University of British Columbia,Conserving Biodiversity and Securing Livelihoods: Approaches to Enhance Transboundary Conservation of the Mekong River,"$50,000.00",2022-2023,770
"Pierson, Danielle M.B.",The University of British Columbia,Rest as Resistance: An Intersectional Indigenous Feminist Analysis on the Relevance of Rest,"$17,500.00",2022-2023,766
"Plisic, Melissa A.",The University of British Columbia,"We, of the Anthropocene: An Autoethnography Concerning Climate Change","$17,500.00",2022-2023,766
"Point, Marny G.",The University of British Columbia,"Exploring the intergenerational stories and communication or relational aspects of Indigenous apprenticeship style of teaching and learning. Due to colonialism, the Indigenous one-to-one, guiding, teaching and learning were fractured and nearly lost","$20,000.00",2022-2023,752
"Pollock, Courtney L.",The University of British Columbia,Retired Para Athletes' Participation in Sport Leadership in Canada: Retention of Para Athlete Knowledge to Drive the Future of Para Sport,"$8,718.00",2022-2023,435
"Poudrier, Ève",The University of British Columbia,Modeling polyrhythmic experience,"$49,242.00",2022-2023,435
"Pradhan, Kesha",The University of British Columbia,Mate Selection: Young Adult-Parent Goal-Directed Processes,"$20,000.00",2022-2023,752
"Pratt, Geraldine",The University of British Columbia,Care Economies and Global Labour,"$200,000.00",2022-2023,950
"Prieto, Dora J.",The University of British Columbia,"All the Half Tomorrows: An Examination of Memory, Trauma, and Displacement from la Violencia in Colombia","$17,500.00",2022-2023,766
"Pulles, Kirstin",The University of British Columbia,Studying trade union organization in response to the climate crisis through social movement theory,"$17,500.00",2022-2023,766
"Qi, Hongyuan",The University of British Columbia,The benefits of cross-racial and same-racial interactions on children's school functioning,"$35,000.00",2022-2023,767
"Qian, Yi",The University of British Columbia,Investigating the impact of business-to-business (B2B) buying groups on buyer-supplier relationships in Healthcare Industry,"$23,970.00",2022-2023,435
"Qian, Yi",The University of British Columbia,The impacts of intellectual property rights on pharmaceutical access and marketing,"$19,351.00",2022-2023,435
"Quach, Aydin M.C.",The University of British Columbia,"Hardening Men: Masculinities in Negotiation and Creation in Postwar Singapore, Vietnam, Indonesia, and Malaya","$17,500.00",2022-2023,766
"Quinton, Jessica M.",The University of British Columbia,The contribution of urban-greening efforts to gentrification in Canadian cities,"$35,000.00",2022-2023,767
"Radke, Jade",The University of British Columbia,Combating Climate Change: Can Plan Reminders Enhance Implementation Intentions?,"$17,500.00",2022-2023,766
"Ragoonaden, Karen 0.",The University of British Columbia,Mindfulness and Antiracist Education: Developing Critical Reflection,"$28,608.00",2022-2023,435
"Ransom, Madeleine",The University of British Columbia,The Perceptual Foundations of Bias and Discrimination,"$30,000.00",2022-2023,430
"Renwick, Kerry",The University of British Columbia,Growing a Transnational Food Literacy Education Partnership,"$87,333.00",2022-2023,890
"Richardson, Lindsey",The University of British Columbia,Social Inclusion and Health Equity,"$120,000.00",2022-2023,950
"Riggs, Rebecca",The University of British Columbia,"Uncovering leverage points for inclusive, resilient, and sustainable infrastructure expansion in forest landscapes","$37,184.00",2022-2023,430
"Robillard, Julie",The University of British Columbia,Social media and family communication: Exploring cultural perspectives,"$35,499.00",2022-2023,430
"Robinson, Sandra L.",The University of British Columbia,Organizational bad actors:  what happens to them,"$27,200.00",2022-2023,435
"Rochlin, James F.",The University of British Columbia,"Colombian Security and the Venezuelan Crisis: Migrants, Armed Groups and Transnational Border Security","$22,211.00",2022-2023,435
"Roeder, John B.",The University of British Columbia,Cycles in the World of Music,"$66,369.00",2022-2023,435
"Rogall, Thorsten",The University of British Columbia,Historical Lynchings and Police Brutality in the US,"$37,000.00",2022-2023,430
"Rogers, Theresa",The University of British Columbia,"Youth, Literature, Mobilities, and Civic Engagement","$20,378.00",2022-2023,435
"Rom, Michael",The University of British Columbia,"Ports of Call: Ethnic Prostitution in Rio de Janeiro and Vancouver, 1890-1929","$45,000.00",2022-2023,756
"Rootman, Joseph",The University of British Columbia,"Drink Consumption in Cannabis-Alcohol Co-Use: Timing, Context and Subjective Intoxication","$30,000.00",2022-2023,752
"Ruder, Sarah-Louise",The University of British Columbia,A Digital Agricultural Revolution: The Risks and Benefits of Digital Farming and Big Data in Canadian Agriculture,"$35,000.00",2022-2023,767
"Rush, Kathy",The University of British Columbia,DIGITY: DIGital inclusion through social Innovation and TechnologY synergies in rural communities: A multi-disciplinary and multi-country collaboration ,"$242,940.00",2022-2023,941
"Rutigliano, Valentina",The University of British Columbia,M&As and Labor Markets: How Human Capital Shapes Deals and How Deals Affect Incumbents,"$20,000.00",2022-2023,752
"Ryan, Erin B.",The University of British Columbia,Shared reality as a developmental model for the psychological construct of solidarity with animals,"$20,000.00",2022-2023,752
"Saewyc, Elizabeth",The University of British Columbia,Stressors experienced by parents of sexual and gender minority youth in collectivist communities,"$30,092.00",2022-2023,430
"Sagar, Nathalie S.",The University of British Columbia,Addressing self-stigma among postsecondary students with disabilities,"$20,000.00",2022-2023,752
"Saggio, Raffaele",The University of British Columbia,Monopsony or Peer Effects? Disentangling the Importance of Firms in the Labor Market,"$31,624.00",2022-2023,430
"Sajjadiani, Sima",The University of British Columbia,Using Machine Learning and Computational Grounded Theory to Understand the Effects of the COVID-19 Pandemic on Work and Employment: Evidence from Social Media,"$26,187.00",2022-2023,435
"Salami, Titilope M.",The University of British Columbia,Power and policy in West African museums: a comparative analysis of Nigeria and Senegal,"$20,000.00",2022-2023,752
"Salamon, Anne",The University of British Columbia,Histoires universelles en français du XVe siècle : entre respect et réinvention de la tradition,"$32,378.00",2022-2023,435
"Salamon, Anne",The University of British Columbia,Redéfinir la courtoisie,"$21,972.00",2022-2023,611
"Sam, Johanna",The University of British Columbia,A Two-Eyed Seeing Approach: How Do Indigenous and Non-Indigenous Youth Cope with Cyber-Aggression?,"$56,769.00",2022-2023,430
"Sardinha, Katie (Katherine) A.",The University of British Columbia,A dual-purpose grammar of causation in Kwak'wala,"$45,000.00",2022-2023,756
"Sarfaty, Galit",The University of British Columbia,Global Economic Governance,"$100,000.00",2022-2023,950
"Sarfaty, Galit A.",The University of British Columbia,Supply Chain Governance at a Distance: How Technocratic Tools Shape the Implementation of Human Rights Due Diligence,"$13,011.00",2022-2023,435
"Sarlak, Lara",The University of British Columbia,Infrastructures of the Displaced: a case study of Istanbul,"$20,000.00",2022-2023,752
"Sarsons, Heather",The University of British Columbia,The Economic Effects of Masculinity Norms,"$22,174.00",2022-2023,435
"Sathaye, Adheesh",The University of British Columbia,Sanskrit Joking Cultures: Bringing Classical Indian Humour to Life through Translation and Performance,"$46,484.00",2022-2023,430
"Savalei, Victoria",The University of British Columbia,Improving measures of self-report,"$25,950.00",2022-2023,435
"Savalei, Victoria",The University of British Columbia,Model selection for psychological scales,"$8,000.00",2022-2023,435
"Sayer, Jeffrey A.",The University of British Columbia,Small and medium forest industries for vibrant local economies: conditions for success in communally managed lands,"$58,970.00",2022-2023,435
"Schabas, Margaret",The University of British Columbia,Economics and Early Modern Philosophy,"$16,269.00",2022-2023,435
"Schaller, Mark",The University of British Columbia,Person Perception in Context,"$47,616.00",2022-2023,435
"Schmalor, Anita",The University of British Columbia,Does economic inequality make people care more about their status,"$20,000.00",2022-2023,752
"Schmidt, Julia",The University of British Columbia,Developing peer-support programs across British Columbia for people with brain injury,"$64,465.00",2022-2023,890
"Schmidt, Julia",The University of British Columbia,Understanding Influences on Self-Identity after Brain Injury,"$41,520.00",2022-2023,430
"Schmidt, Mackenzie I.",The University of British Columbia,The Effects of Indigenized On-Reserve Space for Indigenous Community Members' Wellbeing,"$17,500.00",2022-2023,766
"Scott, Andrea L.",The University of British Columbia,Mother Of All Fears,"$17,500.00",2022-2023,766
"Serrano, Claudia",The University of British Columbia,Politiques migratoires et violations des droits des réfugiés et des migrants : analyse des pratiques états-uniennes et australiennes,"$35,000.00",2022-2023,767
"Shahnaz, Arezoo",The University of British Columbia,Temporal associations between problematic eating behaviours and suicidal thoughts:  A daily diary study,"$20,000.00",2022-2023,752
"Shahram, Sana",The University of British Columbia,A Perinatal Collaborative Community Laboratory on Substance Use and Harm Reduction: The Mothering Co/Lab,"$78,450.00",2022-2023,"1,036"
"Shaikh, Majidullah",The University of British Columbia,Co-developing principles and strategies for research partnerships to advance positive youth development through sport,"$45,000.00",2022-2023,756
"Shaikh, Majidullah",The University of British Columbia,Co-developing principles and strategies for research partnerships to advance positive youth development through sport,"$10,000.00",2022-2023,862
"Shakiba, Nika",The University of British Columbia,Cell simulator: a computer-driven approach to genetically programming cells,"$125,000.00",2022-2023,940
"Shan, Hongxia",The University of British Columbia,"Doing ""diversity"" in practice:Immigrants and knowledge ""transfer"" in engineering and healthcare","$36,265.00",2022-2023,435
"Shank, Monica J.",The University of British Columbia,"Language, Identity, and 'Development': Intergenerational Schooling Experiences of Rural Women in Tanzania","$17,500.00",2022-2023,767
"Shapka, Jennifer",The University of British Columbia,"Adolescent Technology Engagement, Self-Regulation, and the Changing Nature of Parent, Peer, and Intimate Relationships","$21,880.00",2022-2023,435
"Sharma, Neha",The University of British Columbia,Understanding the Repair Economy in Context of Electronic Waste,"$52,500.00",2022-2023,767
"Sherpa, Pasang Y.",The University of British Columbia,Reimagining Global Climate Science: A people-centered approach,"$24,960.00",2022-2023,611
"Shipton, Leah",The University of British Columbia,Corporate power extension through global health public-private partnerships during the Covid-19 pandemic and its normative fallout,"$6,000.00",2022-2023,771
"Shipton, Leah",The University of British Columbia,"Global health governance of extractive industries: An examination of power dynamics shaping the roles, influence and aspirations of health-specific actors","$35,000.00",2022-2023,767
"Silva, Wellage C.",The University of British Columbia,Do We Get a Say? First-Generation Immigrants' Discourses on Citizenship and their Rights to the City: The Case of the Filipino Community in Vancouver,"$17,500.00",2022-2023,766
"Silver, Erin",The University of British Columbia,"Queer Operatives: Writing, Making, and Transmitting Queer Canadian Art Histories","$15,531.00",2022-2023,435
"Simonetto, Deana E.",The University of British Columbia,Qualitative Analysis Conference 2023: Are We Talking in Circles? Expanding Ideas in Qualitative Research,"$24,915.00",2022-2023,611
"Sin, Nancy",The University of British Columbia,The unfolding of positive events in daily stress and coping processes,"$41,290.00",2022-2023,435
"Sinnamon, Luanne S.",The University of British Columbia,Understanding Personal and Public Sense Making in response to the Climate Crisis,"$23,662.00",2022-2023,435
"Siu, Henry E.",The University of British Columbia,Impacts of the changing occupational structure of the economy,"$45,600.00",2022-2023,435
"Skinner, Sarah Y.",The University of British Columbia,Supporting academic inclusion for students with intellectual disabilities: A multiple case study examining how universal design for learning influences collaborative practices of a multi-disciplinary school-based team,"$20,000.00",2022-2023,752
"Slade, Margaret",The University of British Columbia,Empirical Studies in Capacity Utilization,"$17,000.00",2022-2023,435
"Snowberg, Erik",The University of British Columbia,Canada Excellence Research Chair in Data-Intensive Methods in Economics,"$1,400,000.00",2022-2023,951
"Somberg, Lilach",The University of British Columbia,On Not Obeying a Command: Practice and Normative Discourse in the Babylonian Talmud,"$17,500.00",2022-2023,766
"Song, Kyungchul",The University of British Columbia,Statistical Inference from Data on Large Scale Interactions,"$34,200.00",2022-2023,435
"Sparrow, Corrina",The University of British Columbia,Return to Wholeness: Two Spirit Identity and Cultural Resurgence,"$35,000.00",2022-2023,767
"Spilsbury, Oliver C.",The University of British Columbia,Rhetoric of Adaptation,"$17,500.00",2022-2023,766
"Squires, Munir",The University of British Columbia,Kinship and democracy,"$14,674.00",2022-2023,430
"Sriram, Veena",The University of British Columbia,Heroes on Strike: A Mixed Methods Investigation of Health Worker Protests in the COVID-19 Era,"$34,704.00",2022-2023,430
"Stacey, Jocelyn",The University of British Columbia,The Law of Disaster Exceptionalism: Reforming Law's Role in Disaster,"$26,085.00",2022-2023,435
"Stecklov, Guy",The University of British Columbia,The Great War and Population Change in Canada,"$9,548.00",2022-2023,435
"Stein, Sharon",The University of British Columbia,Decolonial Systems Literacy for Confronting 'Wicked' Social and Ecological Problems,"$36,222.00",2022-2023,435
"Stein, Sharon",The University of British Columbia,Towards the Ethical Integration of Different Knowledge Systems: Lessons from STEM and Health Fields,"$38,624.00",2022-2023,430
"Steinmann, Jeanette V.",The University of British Columbia,A study of urban homeless perspectives on bicycling and the role of cycling policy,"$35,000.00",2022-2023,767
"Stewardson Gregory, Charlotte I.",The University of British Columbia,The Effects of Social Adversity on Youth with Social Communication Difficulties and Anxiety,"$17,500.00",2022-2023,766
"Stewart, Brent A.",The University of British Columbia,The mind of the gaps: science and the re-enchantment of nature,"$35,000.00",2022-2023,767
"Stewart, Jaclyn J.",The University of British Columbia,Canadian Consortium of Science Equity Scholars,"$70,465.00",2022-2023,890
"Stewart, Jayme D.",The University of British Columbia,Stalking and the Escalation Towards Serious Violence: A Canadian Perspective,"$17,500.00",2022-2023,766
"Stewart, Jessica D.W.",The University of British Columbia,The Good Target Across the Lifespan,"$20,000.00",2022-2023,752
"Stewart, Jonna M.",The University of British Columbia,Colonial Secondary Worlds: Medievalism and Postcolonialism in Modern High Fantasy,"$17,500.00",2022-2023,766
"Stickles, Elise M.",The University of British Columbia,"Waging metaphorical war: Cross-linguistic analysis of metaphors for cancer, COVID-19, and climate change","$23,591.00",2022-2023,435
"Stites, Jessica L.",The University of British Columbia,Photographing Revolution: Images of Cuban Solidarity in Transnational Contexts,"$23,920.00",2022-2023,435
"Street, Savonnaé",The University of British Columbia,Where does equity fit? An evaluation of municipal official plans in mid-sized cities in Canada,"$17,500.00",2022-2023,766
"Sun, Cheuk Him Ryan",The University of British Columbia,Enemy Aliens or Destitute Refugees? Jewish Internment in Hong Kong and Singapore (1936-1941),"$20,000.00",2022-2023,752
