"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
24531,"RESEARCH LABORATORY FOR INFORMATION SYSTEM ANALYSIS, DESIGN, AND USE","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Izak Benbasat","Izak Benbasat, Andrew Burton-Jones","British Columbia",Vancouver,University,"The University of British Columbia",,"Economics and business administration","information systems, IT management, systems analysis, systems design, system usage",2009,17-Nov-09,$33223
24671,"Research Laboratory for the Study of Organizational Behaviour: Investigating the Role of Individual and Situational Factors on Moral Functioning","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Karl Aquino","Karl Aquino","British Columbia",Vancouver,University,"The University of British Columbia",,"Economics and business administration","Designated Lab Space for Studies of Moral Functioning",2009,17-Nov-09,$31488
18917,"Sensori-motor control in persons with Alzheimers Disease and Multiple Sclerosis","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Gordon Binsted","Gordon Binsted","British Columbia",Vancouver,University,"The University of British Columbia",,Zoology,"Alzheimer's Disease, Multiple Sclerosis, vision, feedback, EEG, feedback, eye-hand, TMS",2009,31-Mar-09,$122725
22429,"Solid-State Characterization of Complexes, Catalysts and Drug Targets","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michael Fryzuk","Raymond Andersen, Michael Fryzuk, Laurel Schafer","British Columbia",Vancouver,University,"The University of British Columbia",,"Inorganic chemistry","X-ray diffraction, activation of small molecules, homogeneous catalysis, green chemistry, drug synthesis, natural products isolation",2009,31-Mar-09,$187818
210602,"The Atomic force microscope for high-resolution imaging of soft biological materials","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Hongbin Li","Hongbin Li","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","Single molecule force spectroscopy, protein engineering, atomic force microscopy, protein mechanics, elastomeric proteins",2009,17-Nov-09,$92000
22390,"The Integrated Watershed Analysis Laboratory (IWAL): a facility for the synchronous, coupled study of complex phenomena in terrestrial and aquatic environments","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Mark Johnson","Mark Johnson","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","carbon sequestration, greenhouse gas emissions, forest management, water quality, ecohydrology, biometeorology, biogeochemistry, carbon cycle, nitrogen cycle",2009,31-Mar-09,$278571
23371,"The Membrane Excitability Laboratory - Exploring Ion Channel Function in Human Health and Disease","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Harley Kurata","Harley Kurata","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","potassium channel, KATP channel, electrophysiology, molecular biology, neonatal diabetes, ion permeation",2009,16-Jun-09,$145288
18872,"The Sustainable Road Safety Research Lab: A Facility to develop & use community-based, macro-level collision prediction models.","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Gordon Lovegrove","Gordon Lovegrove","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","Road Safety Planning, Collision Prediction Model, Sustainable Development, Macro-Level Model Development, Transportation Planning, User Interface Prototype, Process Automation, Technology Transfer, Computer Program, Sustainable Road Safety",2009,16-Jun-09,$92123
17439,"Tools for Medicinal Chemistry-Drug Discovery: Infrastructure for Small Molecule Library Construction","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","David Grierson","David Grierson","British Columbia",Vancouver,University,"The University of British Columbia",,"Organic chemistry","small molecule library, synthesis, drug discovery, HIV-AIDS, cancer, diabetic cardiovascular disease, drug design",2009,17-Nov-09,$60000
212503,"Trade and Environment Research Laboratory (TERL): Infrastructure to analyze the environmental impacts of international trade and facilitate collaboration amongst researchers in these issues.","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Carol McAusland","Carol McAusland","British Columbia",Vancouver,University,"The University of British Columbia",,Economics,"trade, environment, product variety, regulation",2009,16-Jun-09,$32011
20070,"Ultra-high-throughput DNA Sequencing Platform for Large Scale Genome Analysis","Innovation Fund","Leading Edge Fund 2009","Marco Marra","Samuel Aparicio, David Baillie, Joerg Bohlmann, Robert Brunham, Jan Friedman, Philip Hieter, Robert Holt, David Huntsman, Steven Jones, Marco Marra","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"DNA sequencing, bioinformatics, personal genomics, pharmacogenomics, mutation detection, cancer genomics, epigenomics, molecular docking",2009,16-Jun-09,$10065940
19069,"Upgrade of the Affymetrix DNA Microarray Facility in the Wine Research Centre at UBC","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Hendrik Jansen van Vuuren","Hendrik Jansen van Vuuren","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Microarrays, transcription, mRNA, global technologies, systems biology approach, Affymetrix scanner and fluidics station",2009,31-Mar-09,$60844
219483,"A Total Internal Reflection Fluorescence Microscope for single-molecule in-vitro assays and live-cell imaging of processes close to the plasma membrane","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Geoffrey Wasteneys","Geoffrey Wasteneys","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","plant cell biology, microtubule, cytoskeleton, cellulose, microtubule-associated protein, Arabidopsis, microtubule dynamics, mathematical modelling, spatial organization, MAP kinase, MAP kinase phosphatase",2010,2-Nov-10,$61790
25036,"Advanced Imaging Microscope Suite (AIMS).","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Chinten James Lim","Chinten James Lim","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","integrins, cell adhesion, migration, signal transduction, microscope, live cell imaging, FRET and TIRFM.",2010,9-Mar-10,$125000
217483,"Advanced Laboratory for Image Guided Therapy and Diagnosis","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Purang Abolmaesumi","Purang Abolmaesumi","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical and biomedical engineering","ultrasound imaging, image guided therapy, real time imaging, computer assisted diagnosis, cancer diagnosis, spine procedures, needle-based intervention, laparoscopy, urology, ultrasound time-series",2010,15-Jun-10,$125000
24846,"Beta Cell Genesis Research Facility","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Francis Lynn","Brad Hoffman, Francis Lynn","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","miRNA, embryonic stem cells, diabetes, insulin, beta cell, pancreas, gene expression, epigenetics, development, differentiation",2010,9-Mar-10,$250000
24721,"Center for Microbiome and Inflammatory Disease Research: protection against inflammatory bowel disease by modulating the intestinal microbiome through diet and innate immune responses","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Deanna Gibson","Deanna Gibson","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","microbiome, mucosal immunity, inflammatory bowel disease, innate immunity, inflammation, probiotics, maternal and postnatal nutrition, pediatrics, diabetes, enteric bacteria",2010,2-Nov-10,$149635
26297,"Centre for Applied Neurogenetics (CAN)","John R. Evans Leaders Fund","Leaders Opportunity Fund ($1M - $2M) - Funding for research infrastructure","Matthew Farrer","Matthew Farrer","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Neurodegenerative disease, Parkinson's disease, Genetics, Genomics, Neuroscience,Translational medicine, Neurogenetics",2010,15-Jun-10,$800000
24946,"Centre for the Mechanistic Analysis of Radical-based Enzymes","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Kirsten Wolthers","Kirsten Wolthers","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"protein conformational dynamics, radical-based enzymology, coenzyme B12, fast-reaction kinetics, cofactor chemistry, biocatalysis, drug synthesis",2010,9-Mar-10,$131377
22182,"Centre for the Study of Psychology and Law, University of British Columbia Okanagan","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Stephen Porter","Stephen Porter, Zachary Walsh, Michael Woodworth","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","psychology and law, psychopathy, violence reduction, victim psychology, trauma, credibility assessment, legal decision-making, eyewitness memory",2010,9-Mar-10,$165314
27160,"Centre for the Study of Services to Children and Families","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Susan Wells","Susan Wells","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Child Abuse & Neglect, Children & Family Services, Child Welfare, Evidence-based Practice, Cultural Safety, Foster Care, Prevention",2010,2-Nov-10,$93533
19275,"Climate and Coastal Ecosystem Laboratory: Field equipment and computer infrastructure for evaluating the impact of climate change on coastal ecosystems","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Simon Donner","Simon Donner","British Columbia",Vancouver,University,"The University of British Columbia",,"Human geography","climate change, coral reefs, coastal ecosystems, marine conservation,  adaptation and mitigation, climate policy, numerical modeling, high-performance computer cluster, Pacific ocean",2010,9-Mar-10,$102195
26798,"FEBI: Facility for Environmental and Biological Imaging.","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Deborah Roberts","Mark Rheault, Deborah Roberts","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","confocal microscope, imaging, biological treatment processes, insect adaptation processes, human health protection, enviornmental protection",2010,2-Nov-10,$237434
27310,"FINDING A CURE FOR WORK-RELATED REPETITIVE STRAIN INJURIES: A TRANSLATIONAL INTEGRATED BIOLOGY APPROACH","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alexander Scott","Alexander Scott","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Repetitive strain injury, Tendinopathy, Musculoskeletal research, Soft tissue rheumatism,Biomechanical testing, Gene expression analysis,Pathophysiology, Mouse models",2010,2-Nov-10,$123579
26398,"Flow cytometry platform for analysis of rare blood cells in models of human disease","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ken Harder","Ninan Abraham, Ken Harder, Marc Horwitz","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Breast cancer, influenza, diabetes, myocarditis, multiple sclerosis, atherosclerosis, inflammatory bowel disease, leukemia, flow cytometry, leukocytes",2010,15-Jun-10,$129500
218563,"Infrastructure to Support Canada Research Chair in Health Ethics and Diversity","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Barbara Pesut","Barbara Pesut","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","health; diversity; ethics; rural; culture; religion/spirituality; end-of-life",2010,15-Jun-10,$38521
27421,"Integrated Surface Modification/Treatment and Characterization of Nanodevices","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alireza Nojeh","Alireza Nojeh","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","Nanodevices, Carbon Nanotubes, Vacuum, Surface Treatment, Characterization, Electron Emission, Electron-Beam Systems, Optical Properties, Quantum Electronics, Energy Analysis",2010,2-Nov-10,$29296
220044,"Investigating mechanisms and processes involved in language learning in child and adult language learners.","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Carla Hudson Kam","Carla Hudson Kam","British Columbia",Vancouver,University,"The University of British Columbia",,Linguistics,"Language acquisition, second language acquisition, language teaching, gesture",2010,2-Nov-10,$57495
25412,"Isolation and characterization of novel viral pathogens","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Curtis Suttle","Curtis Suttle","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","ultracentrifugation, virus purification, density-gradients,  ss-DNA viruses, RNA viruses, genetic diversity",2010,9-Mar-10,$37000
22920,"Laboratory for Innovative Research in Enology (LIRE)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Cédric Saucier","Cédric Saucier","British Columbia",Vancouver,University,"The University of British Columbia",,"Food sciences (including food engineering)","Wine;Chemistry;Grape;Sensory analysis; Chromatography; Tannin; Protein",2010,9-Mar-10,$122029
25201,"Laboratory for Study and Control of Molecule-Surface Scattering at Ultralow Temperatures with Ultrashort Laser Pulses","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Valery Milner","Valery Milner","British Columbia",Vancouver,University,"The University of British Columbia",,"Classical physics","molecule-surface scattering, ultrafast lasers, pulse shaping, cold molecules, control of molecular dynamics",2010,2-Nov-10,$125000
25366,"Laboratory-Scale Reactors for Hydrometallurgical Process Research and Development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","David Dixon","David Dixon","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","Hydrometallurgy, Base Metal Recovery, Sulfide Leaching, Process Development, Process Commercialization, Process Modeling, Leaching Kinetics, Sulfur Treatment, Arsenic Treatment, Precious Metals Recovery",2010,9-Mar-10,$60000
218263,"Laser Vibrometry Applied to Dynamics of Lattice Materials and Devices","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Srikantha Phani","Srikantha Phani","British Columbia",Vancouver,University,"The University of British Columbia",,"Mechanical engineering","Dynamics; Lattice Materials; Micromecanics; MEMS; Mechanical Filters;",2010,15-Jun-10,$141594
218484,"Low-temperature Scanning Probe Microscope for atomic scale opto-electronics","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Sarah Burke","Sarah Burke","British Columbia",Vancouver,University,"The University of British Columbia",,"Condensed matter physics","nanoscience, organic electronics, opto-electronics, photovoltaics, organic-inorganic interfaces, organic thin films, dielectric surfaces, oxide surfaces, surface science, atomic force microscopy, scanning tunneling microscopy/spectroscopy, electronic structure",2010,15-Jun-10,$398950
24966,"Modeling and curating interactions of intrinsically disordered proteins","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Joerg Gsponer","Joerg Gsponer","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"Structural modeling, intrinsically unstructured proteins, bioinformatics, molecular dynamics, nuclear magnetic resonance, protein-protein interaction network",2010,15-Jun-10,$125105
27247,"Preterm Neonatal Immunological Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Pascal Lavoie","Pascal Lavoie","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Neonates, prematurely born infant, immunological defences, Toll-like receptor, cell immunology, molecular biology, infections, lung disease, auto-immunity",2010,2-Nov-10,$125000
25886,"Qualitative Data Analysis Lab for Policy Research","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Nathanael Lauster","Nathanael Lauster","British Columbia",Vancouver,University,"The University of British Columbia",,Sociology,"Social Policy, Health, Education, Social Welfare, Housing, Poverty, Inequality, Qualitative Data Collection and Analysis",2010,15-Jun-10,$64210
25181,"Rare Disease and Translational Laboratories","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Cornelius Boerkoel","Cornelius Boerkoel","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Translational care, Translational research, human disease, inherited disease, model organism, therapy, rare/unique disease",2010,15-Jun-10,$114193
26893,"Research Laboratory for the Study of Consumer Behaviour: Investigating the Role of Consumer Creativity and Innovation in the Marketplace","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Darren Dahl","Darren Dahl, Rui (Juliet) Zhu","British Columbia",Vancouver,University,"The University of British Columbia",,"Economics and business administration","consumer creativity and innovation.",2010,15-Jun-10,$96951
24406,"ROCK MECHANICS OF VOLCANIC SYSTEMS: Instrumentation for Dynamic Measurement of Permeability and Acoustic Emissions","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","James Russell","Lori Kennedy, James Russell","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","Experiment, volcanology, rock-mechanics, geomaterials, high-pressure, high-temperature, rock physics, rheology, deformation, ductile, brittle, porosity",2010,9-Mar-10,$30270
27255,"Small animal imaging platform in urologic cancers.","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Peter Black","Peter Black","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Animal modelsPrimary xenograftsOrthotopic xenograftsUltrasoundImagingProstate cancerBladder cancerKidney cancerCancer biology",2010,2-Nov-10,$125000
25056,"Social Communication Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Toni (Tanya) Schmader","Toni (Tanya) Schmader","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","social psychology, prejudice, intergroup interaction, social stigma, stress and coping, implicit processes, psychophysiology",2010,9-Mar-10,$80975
25111,"Soil Biodiversity Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Miranda Hart","Miranda Hart","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","soil, microbiology, symbiosis, mycology, ecology, plant, biodiversity",2010,9-Mar-10,$153650
218243,"Stable Isotope and Vitamin Research Unit (SIVRU)","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Yvonne Lamers","Yvonne Lamers","British Columbia",Vancouver,University,"The University of British Columbia",,"Human nutrition and dietetics","Human nutrition, folate, folic acid, vitamin B-12, 1-carbon metabolism, methionine, homocysteine, DNA methylation, transmethylation, stable isotope tracer protocol, metabolic consequence, vitamin inadequacy, vitamin excess",2010,15-Jun-10,$100000
219663,"The Cultural Practice of Literacy Study, Part II: The CPLS Database for Studying Literacy Across Cultural Contexts and the Randomized Field Trial of Real-Life Literacy Instruction","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Robert Tierney","Robert Tierney","British Columbia",Vancouver,University,"The University of British Columbia",,Education,"literacy, reading, writing, instruction, culture, language, marginalized groups, literacy development",2010,2-Nov-10,$15750
27290,"The Facility for Neural Circuits and Behaviour: Structural, Functional, and Developmental Analysis of Taste and Feeding Circuits","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michael Gordon","Michael Gordon","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"confocal imaging, neural circuits, behaviour, neural physiology, optogenetics, brain connectivity, Drosophila, taste, feeding, genetics, development.",2010,2-Nov-10,$125000
24906,"Translational Autonomic Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Andrei Krassioukov","Andrei Krassioukov","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Human subjects, animal models, aberrant plasticity, autonomic dysreflexia, blood vessels, blood pressure, spinal cord injury, sympathetic neurons,",2010,9-Mar-10,$96478
26618,"X-ray Micro-Tomography Facility for Novel In-situ and 3D Characterization of Advanced Materials","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","André Phillion","André Phillion, Abbas Sadeghzadeh Milani","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","X-ray micro-tomography, materials morphology, 3D characterization, in-situ experiments, microstructure analysis, manufacturing innovation, light-metal alloys, textile composites",2010,2-Nov-10,$356921
28921,"A computational platform for Web Application Testing, Energy-Efficiency, Reliability and Security (WATERS)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Karthik Pattabiraman","Ali Mesbah, Karthik Pattabiraman","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","cloud computing, dependability, energy efficiency, web applications, trustworthy computing, programming languages, validation, cross-platform compatibility, sustainability.",2011,14-Jun-11,$130591
27431,"Centre for Seaweed Ecophysiology and Biomechanics (CSEB)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Patrick Martone","Patrick Martone","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","climate, physiology, adaptation, algae, photosynthesis, biochemistry, plasticity, evolution, biomechanics, ecology",2011,15-Mar-11,$125108
221864,"CFI for Fish Physiology, Culture and Conservation","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Anthony Farrell","Anthony Farrell","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","Fish, salmon, heart, maximum heart rate, cardiac pacemaker, ion channels, temperature, anoxia, hypoxia, hydrogen sulphide",2011,14-Jun-11,$130000
28496,"Crystallography of Biosynthetic Enzymes Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Katherine Ryan","Katherine Ryan","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"X-ray crystallography, Natural product biosynthesis,  Enzyme re-design, Genomics, Antibiotics, Drug development, Microbial genetics, Evolution of secondary metabolism",2011,14-Jun-11,$200000
29899,"Development of a Flow-Through Time-Resolved Analysis (FT-TRA) approach for paleoceanographic and environmental applications","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Roger Francois","Roger Francois","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","Geochemistry, Paleoceanography, trace elements, weathering",2011,15-Nov-11,$39090
224724,"Development of Special Purpose Radio Telescopes to Advance Observational Cosmology","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Gary Hinshaw","Gary Hinshaw","British Columbia",Vancouver,University,"The University of British Columbia",,"Astronomical and space sciences","cosmology, cosmic microwave background, observations, data analysis, microwave radiometers, large scale structure",2011,15-Nov-11,$175000
27240,"Establishment of a laboratory for the biomechanics and neuromuscular control of animal flight","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Douglas Altshuler","Douglas Altshuler","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","biomechanics, electromyography, evolutionary physiology, motor control, neuroanatomy, neuroethology, physiological ecology",2011,15-Mar-11,$127685
27861,"Facilities for Electrochemical Studies Related to Energy and Environment Research","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Akram Alfantazi","Akram Alfantazi","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","Electrochemical processes in Materials, Scanning Electrochemical Microscope (SECM), Corrosion, Environment, and Energy",2011,15-Mar-11,$60000
25413,"Hybrid microPET/SPECT and CT preclinical imaging","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Vesna Sossi","Urs Hafeli, Paul Schaffer, Vesna Sossi","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","PET, SPECT, CT, preclinical imaging, multimodality imaging, radiotracers, biomarkers, pharmacology, neurology, oncology",2011,14-Jun-11,$398600
28901,"Infrastructure for a Motion Analysis and Biofeedback Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michael Hunt","Michael Hunt","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","biomechanics, rehabilitation, movement, orthopaedics, neuromuscular, physical function",2011,14-Jun-11,$126551
27916,"Instrumentation for Monitoring Low-Temperature and Ultrafine Aerosols","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ruth Signorell","Ruth Signorell","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","low-temperature Bessel beam trap, field-deployable aerosol sizer, nucleation, cloud properties, freezing of cloud droplets, gas-to-particle processes, aerosol climate impact.",2011,15-Mar-11,$159334
29097,"Integrative Cerebrovascular Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Philip Ainslie","Philip Ainslie","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","cerebrovascular function, aging, exercise, blood pressure, dementia",2011,14-Jun-11,$125127
29136,"Large-scale drivers of ecosystem perturbation and field tests of their effects on freshwater systems","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","John Richardson","John Richardson","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","environmental science, freshwater, aquatic ecology, global drivers, climate, artificial light, forestry, fisheries",2011,14-Jun-11,$52661
28697,"Living Laboratory for Research on Cognitive Development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Andrew Baron","Andrew Baron","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","university-community partnership, social cognitive development, implicit intergroup cognition, inductive reasoning, attitudes, stereotypes, culture, science education",2011,14-Jun-11,$27704
29938,"Mathematical and Experimental Analysis of the Spatial Dynamics and Signalling of Membrane-Bound Proteins on Immune Cells","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Daniel Coombs","Daniel Coombs, Michael Gold","British Columbia",Vancouver,University,"The University of British Columbia",,"Applied mathematics","Hidden Markov methods, surface proteins, single particle tracking, immune cell signalling, TIRF microscopy, PALM microscopy",2011,15-Nov-11,$148793
29056,"Mechanistic understanding of physical activity in cancer rehabilitation and survivorship","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Kristin Campbell","Kristin Campbell","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","rehabilitation, exercise testing, metabolic cart, cancer, survivorship, biomarker, body composition, physiology, accelerometer, perometer",2011,14-Jun-11,$84946
27346,"Microfluidics Technologies for Studying Cell Biomechanics","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Hongshen Ma","Hongshen Ma","British Columbia",Vancouver,University,"The University of British Columbia",,"Mechanical engineering","Microfluidics, Cell Separation, MEMS, Medical Devices, Global Health, Malaria, Cancer, Circulating Tumor Cells, Cell Biomechanics, Point-of-care Diagnostics",2011,14-Jun-11,$123790
29890,"Next Generation Water-cooled Low-pressure Die for the Production of Automotive Wheels","Automotive Partnerships Canada","Automotive Partnership Canada Fund (2009-2012)","Steven Cockcroft","Steven Cockcroft","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","Aluminum Wheels, Low_pressure Die Casting, Heat Transfer Modeling, Inverse Heat Transfer Modeling, Thermal Stress Modeling, Solidification, Macroporosity, Microporosity, Water Cooling, Fatigue Performance",2011,26-Apr-11,$190229
29985,"Plant Secondary Metabolism Analytical Research Team (PlantSMART)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Susan Murch","Susan Murch, Paul Shipley","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","plant, secondary metabolism, metabolomics, amino acid, neurotransmitter, neurotoxin, medicinal plants, drug discovery",2011,15-Nov-11,$309437
28701,"Research Laboratory for the Study of Climate and the Cryosphere: field equipment and computing laboratory for assessing the impact of climate change on glaciers and glaciated landscapes","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michele Koppes","Michele Koppes","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","glacier mass balance, glacial dynamics, Quaternary studies, climate change, geomorphology, polar oceanography, fjord circulation, numerical modeling, glaciomarine deposits, field observations",2011,14-Jun-11,$138963
